business_name,address,phone,website_url,rating,score,notes
"Empower Plumbing Services, LLC.","1700 Bryant Drive, Round Rock, TX, 78664",+15128400550,,,95,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
Excalibur Plumbing,"11880 West Hero Way, Leander, TX, 78641",+1-512-259-7222,,,95,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
Roger's Plumbing,"7696 183A Toll Road, Leander, TX, 78641",+1-512-259-5754,,,95,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
A Plus Water Conditioning,"2803 Williams Drive, Georgetown, TX, 78628",+1-512-869-2016,,,95,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
Just Us Plubing,"1700 Bryant Drive, Round Rock, TX, 78664",,,,93,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
Ferguson Waterworks,"200 Park Central Boulevard, Georgetown, TX, 78626",,,,93,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
Excel Construction Services LLC,"1202 Leander Dr, Leander, TX, 78641",,,,93,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
Christianson Plumbing,"approx 30.48916, -97.64543 (no street address in OSM)",,,,90,web cross-check unavailable (DDG HTTP 202); no website listed in OSM; search widened to 45km for coverage
Pro-Tec Septic,"151 Hillvue Road, Georgetown, TX, 78626",+15126144444,https://protecseptic.com/,,65,"listed website blocked automated check: https://protecseptic.com/ HTTP 403 - verify manually, may be live; search widened to 45km for coverage"
ARS / Rescue Rooter Austin,"2306 West Howard Lane, Austin, TX, 78728",+1-512-345-4050,https://www.ars.com/austin,,30,has working website: https://www.ars.com/austin; search widened to 45km for coverage
ROD Plumbing Inc,"1 Chisholm Trail Road, Round Rock, TX, 78681",+1 512-838-1182,https://www.rodplumbingtexas.com,,30,has working website: https://www.rodplumbingtexas.com; search widened to 45km for coverage
Benjamin Franklin Plumbing,"2000 Windy Terrace, Cedar Park, TX, 78613",+1-512-648-4208,https://www.benjaminfranklinplumbing.com,,30,has working website: https://www.benjaminfranklinplumbing.com; search widened to 45km for coverage
"Economy Plumbing Services, LLC","701 Tillery Street, Austin, TX, 78702",+1-512-580-7829,https://www.plumbersthatcare.com/,,30,has working website: https://www.plumbersthatcare.com/; search widened to 45km for coverage
McDowd Plumbing,"1405 Beckett Street, Austin, TX, 78757",+1-737-419-6916,https://www.mcdowdplumbing.com/,,30,has working website: https://www.mcdowdplumbing.com/; search widened to 45km for coverage
Garrison Plumbing Company,"100 Precision Dr #305, Buda, TX, 78610",+1-512-295-0825,https://garrisonplumber.com/,,30,has working website: https://garrisonplumber.com/; search widened to 45km for coverage
Reliant Plumbing,"2306 Ranch Road 620, 78734",,https://www.reliantplumbing.com/,,28,has working website: https://www.reliantplumbing.com/; search widened to 45km for coverage
Aqua Systems,"1309 Leander Dr, Leander, TX, 78641",,https://ilovemywater.com,,28,has working website: https://ilovemywater.com; search widened to 45km for coverage
